Site,WY,Month,Acari,Aeshnidae,Ameletidae,Amphipoda,Amphizoidae,Apataniidae,Arctopsychinae,Athericidae,Baetidae,Belostomatidae,Blephariceridae,Brachycentridae,Caenidae,Calamoceratidae,Calopterygidae,Capniidae,Ceratopogonidae,Chironomidae,Chloroperlidae,Cladocera,Coenagrionidae,Copepoda,Cordulegastridae,Corduliidae,Corydalidae,Decapoda,Dixidae,Dryopidae,Dytiscidae,Elmidae,Empididae,Ephemerellidae,Ephemeridae,Ephydridae,Gastropoda,Glossosomatidae,Gomphidae,Haliplidae,Helicopsychidae,Heptageniidae,Hirudunea,Hydraenidae,Hydrophilidae,Hydropsychidae,Hydroptilidae,Isonychiidae,Lepidostomatidae,Leptoceridae,Leptohyphidae,Leptophlebiidae,Leuctridae,Libellulidae,Limnephilidae,Naucoridae,Nematoda,Nematomorpha,Nemertea,Nemouridae,Odontoceridae,Oligochaeta,Ostracoda,Pelecypoda,Peltoperlidae,Perlidae,Perlodidae,Philopotamidae,Polycentropodidae,Psephenidae,Psychodidae,Psychomyiidae,Pteronarcyidae,Ptilodactylidae,Pyralidae,Rhyacophilidae,Sericostomatidae,Sialidae,Simuliidae,Siphlonuridae,Stratiomyidae,Tabanidae,Tipulidae,Turbellaria,Uenoidae,Unknown,Veliidae
8,2013,10,1,0,0,104,0,0,0,0,83,0,0,0,0,0,0,0,0,26,0,0,0,0,14,0,1,1,0,0,0,29,1,1,0,0,35,0,0,0,0,0,0,0,0,5,41,0,0,0,13,0,0,1,0,0,0,0,2,0,0,70,0,10,0,0,0,18,5,24,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0
8,2014,6,0,0,0,180,0,0,0,0,47,0,0,0,0,0,0,0,0,41,0,0,2,0,0,0,0,0,0,0,0,26,0,0,0,0,4,0,0,0,0,0,0,0,0,115,0,0,0,0,21,0,0,0,0,0,0,0,1,0,0,11,0,4,0,0,0,36,3,6,0,0,0,0,2,0,0,0,19,0,0,0,0,2,0,0,0
8,2014,10,0,0,0,34,0,0,0,0,74,0,0,4,1,0,0,0,0,55,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,23,10,0,0,0,45,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0
9,2001,6,1,0,0,3,0,0,0,0,17,0,0,7,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,47,0,0,0,1,0,1,0,0,64,8,0,0,4,23,0,0,0,0,22,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,0
9,2001,11,0,0,6,2,0,0,0,0,22,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,2,0,0,0,0,0,3,0,0,30,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,2,0
9,2002,6,8,0,0,1,0,0,0,0,83,0,0,14,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,2,0,0,0,0,0,0,0,0,40,3,0,0,2,11,11,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,10,0,0,0
9,2002,10,1,0,0,2,0,0,0,0,28,0,0,2,0,0,0,0,0,123,0,0,2,0,0,0,0,0,0,0,0,13,0,1,0,0,3,2,0,0,0,0,1,0,0,13,8,0,0,0,12,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,47,0,0,0,0,16,0,0,0
9,2003,6,2,0,0,3,0,0,0,0,193,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0,16,0,1,0,0,0,1,0,0,0,1,0,0,0,136,3,0,0,0,21,0,0,0,0,3,1,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,3,1,0,0,83,0,0,0,0,5,0,0,0
9,2003,10,6,0,0,0,0,0,0,0,20,0,0,3,0,0,0,0,0,281,0,0,1,0,0,1,0,0,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,28,11,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,16,0,1,0,0,0,0,2,0,0,0,58,0,0,0,0,14,0,0,0
9,2004,6,5,0,0,3,0,0,0,0,67,0,0,1,1,0,0,0,111,0,0,0,1,0,1,0,0,0,0,0,0,7,1,0,0,0,44,0,0,0,0,0,0,0,0,124,26,0,0,0,24,0,0,0,0,7,0,0,0,0,0,25,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,48,0,0,0,1,11,0,0,0
9,2004,10,2,0,0,1,0,0,0,0,108,0,0,2,0,0,1,0,0,43,0,0,2,0,0,0,1,0,0,0,0,11,0,0,0,0,4,0,0,0,2,0,0,0,0,27,15,0,0,0,19,0,0,3,0,0,0,0,1,0,0,4,0,1,0,0,0,1,0,3,0,0,0,0,7,0,0,0,224,0,0,0,0,13,0,0,0
9,2005,6,1,0,0,6,0,0,0,0,238,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,1,0,0,0,0,6,0,0,0,53,5,0,2,0,20,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,1,1,0,2,0,0,0,0,1,1,0,0,106,0,0,0,0,0,0,0,0
9,2005,10,1,0,0,2,0,0,0,0,78,0,0,6,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,24,1,1,0,0,1,0,0,0,0,0,0,0,0,64,8,0,0,1,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,1,0,0,0,0,1,0,0,0,113,0,1,0,0,49,0,0,0
9,2006,6,1,0,0,1,0,0,0,0,192,0,0,2,0,0,0,0,0,61,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,4,0,0,0,0,0,0,0,0,157,0,0,0,0,15,0,4,0
9,2006,10,1,0,0,17,0,0,0,0,59,0,0,1,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0,0,54,0,0,0,0,9,0,0,0,0,0,0,0,0,11,19,0,0,1,17,0,0,0,0,0,0,0,0,0,0,5,16,3,0,0,0,6,0,5,1,0,0,0,2,0,0,0,240,0,0,0,0,7,0,0,0
9,2007,6,3,0,0,4,0,0,0,0,30,0,0,1,0,0,1,0,0,120,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,28,0,0,0,0,1,0,0,0,76,20,0,0,0,33,0,0,0,0,4,0,0,0,0,0,91,0,1,0,0,1,18,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,9,0,0,0
9,2007,10,1,0,0,14,0,0,0,0,33,0,0,3,0,0,0,0,0,62,0,0,3,0,0,2,1,0,0,0,1,34,1,3,0,0,28,0,0,0,3,0,0,0,0,15,36,0,0,0,133,0,0,0,0,1,0,0,11,0,0,60,5,0,0,0,0,3,0,11,0,0,0,0,26,0,0,0,4,0,0,0,0,9,0,0,0
9,2008,6,1,0,0,6,0,0,0,0,99,0,0,9,0,0,2,0,1,113,0,0,1,0,0,0,0,0,0,0,0,28,0,0,0,0,37,0,0,0,0,1,0,0,0,100,13,0,0,1,65,0,0,0,0,14,0,0,0,0,0,10,0,1,0,0,0,6,0,7,0,0,0,0,1,0,0,0,10,0,0,0,1,5,0,0,0
9,2008,10,1,0,0,6,0,0,0,0,114,0,0,10,0,0,0,0,0,118,0,0,6,0,0,0,0,0,0,0,0,46,0,0,0,0,4,0,0,0,4,4,2,0,0,29,49,0,0,1,20,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,27,0,0,0,0,16,0,16,0
9,2009,6,0,0,0,11,0,0,0,0,181,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,83,5,0,0,0,14,1,0,0,0,6,0,0,1,0,0,0,0,0,0,2,0,14,0,3,0,0,0,0,2,0,0,0,100,0,0,0,2,1,0,0,0
9,2009,10,0,0,0,26,0,0,0,0,94,0,0,7,0,0,0,0,0,85,0,0,6,0,0,0,0,0,0,0,0,60,0,0,0,0,21,0,0,0,2,0,0,0,0,42,13,0,0,0,11,0,0,0,0,0,1,0,4,0,0,29,0,1,0,1,0,30,1,11,0,0,0,0,3,0,0,0,52,0,1,0,0,1,0,0,0
9,2010,6,0,0,0,36,0,0,0,0,286,0,0,2,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,38,8,0,0,0,5,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,64,0,0,0,7,1,0,2,0
9,2010,10,3,0,0,17,0,0,0,0,102,0,0,0,0,0,1,0,0,54,0,0,3,0,0,0,1,0,0,0,0,24,0,0,0,0,5,0,0,0,0,0,0,0,0,59,18,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,34,0,10,0,0,0,0,0,0,0,0,192,0,0,0,0,7,0,0,0
9,2011,6,4,0,0,6,0,0,0,0,226,0,0,0,0,0,0,0,1,83,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,57,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,1,0,1,0,3,0,4,0,0,0,0,1,0,0,0,77,0,0,0,7,0,0,0,0
9,2011,10,0,0,0,108,0,0,0,0,46,0,0,0,0,0,0,0,0,34,0,0,5,0,1,0,0,0,0,0,0,8,0,0,0,0,12,0,0,0,0,0,0,0,0,23,2,0,0,0,24,0,0,0,0,0,0,0,2,0,0,52,1,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,157,0,0,0,0,4,0,0,0
9,2012,6,1,0,0,2,0,0,0,0,128,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,6,1,0,0,0,8,0,0,0,72,34,0,0,1,8,0,0,0,2,1,0,0,0,0,0,24,0,0,0,1,1,2,0,3,0,0,0,0,6,0,0,0,98,0,0,0,1,1,0,0,0
9,2013,10,2,0,0,53,0,0,0,0,70,0,0,0,0,0,0,0,0,50,0,0,8,0,0,0,0,0,0,0,0,32,0,0,0,0,44,0,0,0,0,0,3,0,0,2,21,0,0,2,62,0,0,2,0,1,0,0,3,0,0,48,1,1,0,0,0,0,1,12,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0
9,2014,6,1,0,0,14,0,0,0,0,12,0,0,2,0,0,0,0,2,114,0,0,5,0,0,0,0,0,0,0,0,13,0,0,0,0,17,0,2,0,0,3,0,0,0,42,8,0,1,0,167,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,2,3,21,0,0,0,0,7,1,0,0,3,55,0,0,1,1,0,10,0
9,2014,10,4,0,0,12,0,0,0,0,91,0,0,0,1,0,0,0,0,105,0,0,3,0,0,0,0,0,0,0,0,42,0,0,0,0,19,0,0,0,2,0,0,0,0,63,38,0,0,0,40,0,0,4,0,1,0,0,0,0,1,2,0,3,0,0,0,14,0,10,0,0,0,0,7,0,0,0,14,0,0,0,3,13,0,0,0
10,2001,6,2,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,85,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,114,0,0,0,0,0,0,0,0,77,20,0,0,0,4,0,0,0,0,2,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,14,0,0,0,1,1,0,0,0
10,2001,11,1,0,0,3,0,0,1,0,91,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,0,0,0,49,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,1,1,0,0,0,0,0,1,0,0,108,0,0,0,0,0,0,0,0
10,2002,6,4,0,0,1,0,0,0,0,41,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,93,13,0,0,0,13,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,99,0,0,0,0,0,0,1,0
10,2002,10,5,0,0,11,0,0,0,0,78,0,0,1,0,0,0,0,0,65,0,0,0,0,0,0,2,0,0,0,0,35,0,0,0,0,10,0,0,0,0,0,0,0,0,20,36,0,0,1,7,0,0,1,0,1,0,0,3,0,0,7,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0
10,2003,6,6,0,0,5,0,0,0,0,209,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,0,0,0,6,1,0,0,0,143,11,0,0,0,8,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,7,0,0,0,45,0,0,0,0,0,0,0,0
10,2003,10,5,0,0,12,0,0,0,0,89,0,0,1,0,0,0,0,1,145,0,0,7,0,0,0,1,0,0,0,0,47,0,0,0,0,3,0,0,0,0,0,0,0,0,53,30,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,65,0,0,0,0,13,0,0,0
10,2004,6,25,0,0,4,0,0,0,0,71,0,0,1,0,0,0,0,0,89,0,0,1,0,0,0,0,0,0,0,0,72,0,0,0,0,12,0,0,0,0,1,0,0,0,112,28,0,0,0,30,0,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,3,0,2,0,0,0,0,2,0,0,0,44,0,0,0,4,0,0,0,0
10,2004,10,3,0,0,6,0,0,0,0,177,0,0,1,0,0,0,0,0,82,0,0,10,0,0,0,0,0,0,0,0,61,0,0,0,0,4,0,0,0,0,1,2,0,0,58,40,0,0,0,9,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,6,0,2,0,0,0,0,2,0,0,0,31,0,0,0,0,14,0,0,0
10,2005,10,0,0,0,6,0,0,0,0,58,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,6,0,1,0,0,11,0,0,0,0,0,0,0,0,21,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,344,0,0,0,0,0,0,0,0
11,2001,6,12,0,0,0,0,0,0,0,6,0,0,10,0,0,0,0,0,109,1,0,0,1,2,0,0,0,0,0,0,14,6,0,0,0,1,0,6,0,0,1,0,0,0,3,0,0,0,0,1,0,1,0,1,0,3,0,0,2,1,29,0,0,0,2,0,0,2,0,0,0,0,0,0,24,0,2,40,0,0,0,4,0,0,0,0
11,2002,6,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,1,0,2,0,0,15,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,39,0,0,0,0,0,0,0,0
11,2002,10,3,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,210,1,0,0,0,0,0,0,0,0,0,0,4,0,15,0,0,0,0,5,0,0,11,0,0,0,4,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0
11,2003,6,20,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,193,0,0,0,0,1,0,0,0,0,0,0,0,4,4,0,0,0,0,5,0,0,5,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,7,0,114,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,105,0,0,0,0,0,0,0,0
11,2003,10,35,0,0,0,0,0,0,0,12,0,0,10,0,1,0,2,1,260,4,0,0,0,7,0,0,0,0,0,0,7,3,7,0,0,0,0,5,0,0,3,0,0,1,10,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,4,41,0,0,0,1,0,0,2,0
11,2004,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,10,0,0,1,1,0,0,2,0,0,0,0,0,1,0,6,0,1,0,0,14,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0
11,2004,10,20,0,0,0,0,0,0,0,13,0,0,29,0,0,0,1,0,36,1,0,1,0,1,0,0,0,0,0,0,11,2,2,0,0,0,0,0,0,0,1,0,0,0,25,0,0,5,0,0,0,0,0,0,0,0,0,2,8,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,196,0,0,0,2,0,0,0,0
11,2005,6,16,0,0,0,0,0,3,0,189,0,0,2,0,0,0,0,0,60,1,0,0,0,0,0,1,0,1,0,0,43,2,2,0,0,0,0,4,0,0,50,0,0,0,7,0,0,2,0,0,0,0,0,0,0,7,0,1,9,0,12,0,0,0,2,0,0,0,0,0,1,3,0,0,28,1,0,50,0,0,0,2,0,0,0,0
11,2005,10,43,0,0,0,0,0,0,0,7,0,0,20,0,0,0,0,0,121,9,0,2,0,0,0,1,0,0,0,0,15,2,8,0,0,0,0,1,0,0,36,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,115,0,1,0,1,0,0,0,0,0,0,1,0,0,5,0,0,71,0,1,0,1,0,0,0,0
11,2006,6,7,0,0,0,0,0,0,0,34,0,0,0,0,0,0,1,0,94,4,0,0,0,0,0,0,0,0,0,0,9,2,1,0,0,0,0,0,0,0,19,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,28,0,0,0,0,4,0,0,0,0,0,1,0,0,10,1,0,4,0,0,0,2,0,0,0,0
11,2006,10,11,0,0,4,0,0,0,0,10,0,0,98,0,0,0,0,1,134,4,0,0,0,1,0,0,0,0,0,0,37,1,8,0,0,0,0,2,0,0,4,0,0,0,29,0,0,5,0,0,7,1,0,0,0,1,0,0,15,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,9,0,0,0,3,0,0,0,0
11,2007,6,30,0,0,1,0,0,3,0,14,0,0,12,0,0,0,0,2,222,0,0,0,0,1,0,0,0,0,0,0,18,9,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,15,0,0,0,2,0,12,0,2,0,0,3,0,74,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,53,0,0,0,3,0,0,0,0
11,2007,10,9,0,0,0,0,0,0,0,20,0,0,27,0,0,0,0,0,259,17,0,0,0,7,0,0,0,0,0,0,12,2,13,0,0,0,0,1,0,0,2,0,1,0,13,0,0,5,0,1,0,1,0,1,0,0,0,0,14,0,81,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,0,2,0,0,0,0
11,2008,6,8,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,283,10,0,0,0,1,0,0,0,3,0,0,19,6,0,0,0,5,0,1,0,0,0,0,0,0,1,1,0,12,0,0,0,2,0,0,0,1,0,0,3,0,60,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,1,53,0,0,2,6,0,0,0,0
11,2008,10,11,0,0,1,0,0,0,0,4,0,0,25,0,0,0,0,0,220,5,0,0,0,10,0,0,0,0,0,0,16,2,2,0,0,0,1,16,0,0,8,0,0,0,5,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,118,0,1,0,0,0,0,1,1,0,5,0,0,0,2,3,3,23,0,0,0,2,0,0,0,0
11,2009,6,18,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,2,252,8,0,0,0,1,0,0,0,1,0,0,31,6,1,0,0,0,1,9,0,0,1,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,56,0,0,0,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,15,0,0,2,0
11,2009,10,17,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,201,32,0,0,0,7,0,0,0,0,0,0,38,5,0,0,0,0,0,15,0,0,4,0,0,0,0,1,0,28,2,0,1,0,0,0,0,2,0,0,1,0,103,0,6,0,0,1,0,3,0,0,2,0,0,0,0,3,10,20,0,0,0,2,0,0,0,0
11,2010,6,17,0,0,0,0,0,0,0,24,0,0,3,0,0,0,0,2,313,0,0,1,0,0,0,0,0,0,0,1,6,8,0,0,0,2,0,4,0,0,4,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23,0,0,0,2,0,0,0,0
11,2010,10,7,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,1,209,25,0,0,0,5,0,0,0,0,0,0,29,4,1,0,0,1,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,150,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,9,0,1,0,24,0,0,0,0
11,2011,6,34,0,0,0,0,0,0,0,33,0,0,1,0,0,0,0,1,377,0,0,0,0,3,0,0,0,0,0,0,4,10,1,0,0,1,0,5,0,0,9,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,4,0,21,0,0,0,2,0,0,0,0,0,1,1,0,0,1,2,0,39,0,0,0,0,0,0,1,0
11,2011,10,19,0,0,0,0,0,0,0,2,0,0,64,0,0,0,0,0,107,46,0,1,0,4,0,0,0,0,0,0,18,4,17,0,0,5,0,7,0,0,13,0,0,0,9,0,0,13,0,0,2,0,0,0,0,1,0,1,12,0,81,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,0,43,0,0,0,0
11,2012,6,13,0,2,0,0,0,0,0,17,0,0,0,0,0,1,2,3,321,3,0,0,0,0,0,0,0,0,0,0,18,5,1,0,0,0,0,2,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,32,0,3,0,0,2,0,0,0,0,0,0,0,0,3,3,0,49,0,0,0,5,0,0,0,0
11,2013,10,30,0,0,0,0,0,0,0,0,0,0,51,0,2,0,0,5,105,0,0,1,0,26,0,0,0,0,0,0,38,3,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,0,0,1,0,5,9,3,1,0,0,0,5,0,0,0,0
11,2014,6,7,0,1,0,0,0,0,0,27,0,0,0,0,0,0,0,10,277,6,0,0,0,5,0,0,0,0,0,0,27,10,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,6,0,0,0,6,1,3,0,0,0,0,0,0,0,22,0,5,46,0,0,0,7,3,0,473,0
11,2014,10,26,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,15,227,8,0,0,0,8,1,0,0,0,0,0,29,3,0,0,2,1,0,8,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,1,19,1,0,0,0,0,0,1,0
11,2015,10,5,0,2,0,0,0,0,0,41,0,0,1,0,0,0,0,1,181,7,0,1,0,4,0,0,0,1,0,0,3,1,13,0,0,2,0,22,0,0,8,0,0,0,6,0,0,8,1,0,16,9,0,0,0,2,0,0,12,0,76,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,55,0,2,0,1,1,0,1,0
12,2001,6,8,0,0,0,0,0,0,0,5,0,0,9,0,0,0,1,0,156,0,0,0,2,0,0,0,0,0,0,0,4,1,28,0,0,0,0,2,0,0,3,0,0,0,5,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,16,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,2,0,0,1,0
12,2002,6,3,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,172,0,0,0,0,1,0,0,0,0,0,0,7,5,1,0,0,0,0,2,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,19,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,43,0,0,0,0,0,0,1,0
12,2002,10,7,0,0,0,0,0,0,0,22,0,0,1,0,0,0,4,0,91,1,0,2,0,8,0,0,0,0,0,0,22,1,21,0,0,1,1,2,0,0,20,0,0,0,28,3,0,1,0,0,4,0,0,0,0,0,0,1,7,0,2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,37,0,0,0,3,0,0,0,0
12,2003,6,6,0,0,0,0,0,0,0,52,0,0,3,0,0,0,0,1,315,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,12,0,0,0,0,2,0,2,0,0,0,1,0,0,0,2,0,0,18,0,27,1,0,0,2,0,0,0,0,0,0,1,0,0,4,3,0,40,0,0,0,2,0,0,0,0
12,2003,10,16,0,0,0,0,0,0,0,25,0,0,9,0,1,0,6,1,265,0,0,6,0,13,0,0,0,0,0,0,44,2,28,0,0,1,1,12,0,0,7,0,0,0,26,0,0,10,0,0,2,0,0,0,0,0,0,0,13,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0
12,2004,6,18,0,0,0,0,0,0,0,16,0,0,5,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,12,7,6,0,0,1,0,4,0,0,3,0,0,0,0,3,0,7,0,0,0,0,0,0,0,2,0,0,7,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,1,0,0,0,0
12,2004,10,6,1,0,0,0,0,0,0,41,0,0,21,0,0,0,0,0,114,0,0,0,0,1,0,0,0,0,0,0,28,6,5,0,0,2,0,8,0,0,13,0,0,0,19,9,0,2,0,0,3,0,0,0,0,0,0,0,64,0,115,0,1,0,4,0,0,1,0,0,0,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0
12,2005,6,7,0,0,1,0,0,0,0,130,0,0,1,0,0,0,0,1,176,0,0,0,0,1,0,1,0,0,0,0,16,5,2,0,0,0,0,3,0,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,38,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,13,0,0,81,0,0,0,2,0,0,0,0
12,2005,10,12,0,0,0,0,0,0,0,44,0,0,34,0,0,0,9,2,138,1,0,0,0,1,0,0,0,0,0,0,30,1,91,0,0,3,0,4,0,0,25,0,0,0,14,1,0,0,0,2,0,0,0,0,0,0,0,0,26,0,17,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,7,0,0,0,0
12,2006,6,4,0,0,0,0,0,1,0,124,0,0,1,0,0,0,0,0,160,2,0,0,0,0,0,0,0,0,0,0,14,9,6,0,0,0,0,0,0,0,26,0,1,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,10,0,6,0,0,0,8,0,0,0,0,0,0,0,0,0,23,0,0,47,0,0,0,2,0,0,0,0
12,2006,10,15,0,0,2,0,0,0,0,13,0,0,35,0,0,0,19,0,218,0,0,0,0,1,0,0,0,0,0,0,12,1,27,0,0,0,0,2,0,0,13,0,0,0,24,2,0,3,0,0,0,2,0,0,0,3,0,0,38,0,72,0,0,0,8,0,0,0,0,0,0,2,0,0,1,4,0,11,0,0,0,3,1,0,0,0
